Aquifer ID,Aquifer Name,Î”SUBN+A
1,Nubian Aquifer System (NAS),-2.91
2,Northwestern Sahara Aquifer System (NWSAS),-2.81
3,Murzuk-Djado Basin,-4.28
4,Taoudeni-Tanezrouft Basin,-0.50
5,Senegalo-Mauritanian Basin,4.65
6,lullemeden-Irhazer Aquifer System,2.41
7,Lake Chad Basin,-1.04
8,Sudd Basin (Umm Ruwaba Aquifer),-2.86
9,Ogaden-Juba Basin,-0.34
10,Congo Basin,-4.85
11,Upper Kalahari-Cuvelai-Upper Zambezi Basin,24.28
12,Lower Kalahari-Stampriet Basin,3.20
13,Karoo Basin,5.59
14,Northern Great Plains Aquifer,4.95
15,Cambro-Ordovician Aquifer System,2.45
16,Californian Central Valley Aquifer System,-8.89
17,Ogallala Aquifer (High Plains),0.31
18,Atlantic and Gulf Coastal Plains Aquifer,-5.93
19,Amazon Basin,7.13
20,Maranhao Basin,6.71
21,Guarani Aquifer System,-0.58
22,Arabian Aquifer System,-9.13
23,Indus Basin,-4.26
24,Ganges-Brahmaputra Basin,-19.56
25,West Siberian Basin,-1.98
26,Tunguss Basin,1.66
27,Angara-Lena Basin,3.99
28,Yakut Basin,2.89
29,North China Aquifer System,-7.50
30,Song-Liao Basin,2.40
31,Tarim Basin,-0.23
32,Paris Basin,-4.12
33,Russian Platform Basins,-4.01
34,North Caucasus Basin,-16.10
35,Pechora Basin,3.04
36,Great Artesian Basin,10.60
37,Canning Basin,-9.41